<> SIMULATING ----------------
+-------+-----------------+------+------+------+---------+---------+------+-------+
| Test #| Mode            | Op   | OpA  | OpB  | alu_data | Expected| Cout | Match?|
+-------+-----------------+------+------+------+---------+---------+------+-------+
|1      |Comparison/Shift | LEU  |4b1001| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|2      |Comparison/Shift | SRA  |4b0011| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|3      |Comparison/Shift | SLTU |4b1001| 4b0111| 4b0000  | 4b0000  | 1b0  | Yes   |
|4      |Comparison/Shift | GE   |4b0100| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|5      |Arithmetic       | MOD  |4b1110| 4b1111| 4b1110  | 4b1110  | 1b0  | Yes   |
|6      |Arithmetic       | SUB  |4b1111| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|7      |Arithmetic       | MULT |4b0101| 4b0110| 4b1110  | 4b1110  | 1b0  | No    |
|8      |Arithmetic       | DIV  |4b0011| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|9      |Comparison/Shift | NE   |4b0010| 4b1110| 4b0001  | 4b0001  | 1b1  | No    |
|10     |Logical          | NOT_A|4b0001| 4b0001| 4b1110  | 4b1110  | 1b0  | Yes   |
|11     |Comparison/Shift | SLTU |4b1000| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|12     |Comparison/Shift | GE   |4b1111| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|13     |Comparison/Shift | SRL  |4b1010| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|14     |Logical          | AND  |4b1011| 4b1011| 4b1011  | 4b1011  | 1b1  | No    |
|15     |Arithmetic       | ADD  |4b0001| 4b0100| 4b0101  | 4b0101  | 1b0  | Yes   |
|16     |Logical          | NOT_A|4b0000| 4b1000| 4b1111  | 4b1111  | 1b0  | Yes   |
|17     |Comparison/Shift | SLL  |4b0111| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|18     |Comparison/Shift | LEU  |4b1001| 4b1001| 4b0000  | 4b0001  | 1b0  | No    |
|19     |Arithmetic       | SUB  |4b0011| 4b0111| 4b1100  | 4b1100  | 1b1  | Yes   |
|20     |Comparison/Shift | SRA  |4b0010| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|21     |Arithmetic       | SUB  |4b0000| 4b1001| 4b0111  | 4b0111  | 1b1  | Yes   |
|22     |Arithmetic       | MULT |4b0101| 4b1110| 4b0110  | 4b0110  | 1b0  | Yes   |
|23     |Comparison/Shift | GE   |4b0010| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|24     |Logical          | XOR  |4b1011| 4b1100| 4b0111  | 4b0111  | 1b0  | Yes   |
|25     |Arithmetic       | DIV  |4b0100| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|26     |Comparison/Shift | SRL  |4b1000| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|27     |Arithmetic       | MULT |4b0110| 4b1101| 4b1110  | 4b1110  | 1b0  | Yes   |
|28     |Logical          | OR   |4b0000| 4b1101| 4b1101  | 4b1101  | 1b1  | No    |
|29     |Comparison/Shift | EQ   |4b0111| 4b1001| 4b0000  | 4b0000  | 1b1  | No    |
|30     |Arithmetic       | SUB  |4b0111| 4b1001| 4b1110  | 4b1110  | 1b1  | Yes   |
|31     |Logical          | AND  |4b1100| 4b1101| 4b1100  | 4b1100  | 1b1  | No    |
|32     |Arithmetic       | SUB  |4b1001| 4b0010| 4b0111  | 4b0111  | 1b0  | Yes   |
|33     |Logical          | OR   |4b0001| 4b0101| 4b0101  | 4b0101  | 1b1  | No    |
|34     |Logical          | XOR  |4b0100| 4b1011| 4b1111  | 4b1111  | 1b0  | Yes   |
|35     |Logical          | OR   |4b1000| 4b0010| 4b1010  | 4b1010  | 1b0  | Yes   |
|36     |Arithmetic       | MULT |4b1111| 4b0110| 4b1010  | 4b1010  | 1b0  | No    |
|37     |Arithmetic       | MOD  |4b1111| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
|38     |Logical          | NAND |4b0000| 4b0101| 4b1111  | 4b1111  | 1b0  | Yes   |
|39     |Logical          | NOT_B|4b0010| 4b1100| 4b0011  | 4b0011  | 1b0  | Yes   |
|40     |Logical          | AND  |4b1110| 4b1111| 4b1110  | 4b1110  | 1b1  | No    |
|41     |Comparison/Shift | SRA  |4b0101| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|42     |Logical          | XOR  |4b0001| 4b1110| 4b1111  | 4b1111  | 1b0  | Yes   |
|43     |Logical          | XNOR |4b0000| 4b0101| 4b1010  | 4b1010  | 1b0  | Yes   |
|44     |Logical          | XOR  |4b1011| 4b1101| 4b0110  | 4b0110  | 1b0  | Yes   |
|45     |Arithmetic       | SUB  |4b0100| 4b1000| 4b1100  | 4b1100  | 1b1  | Yes   |
|46     |Logical          | AND  |4b1101| 4b1111| 4b1101  | 4b1101  | 1b1  | No    |
|47     |Arithmetic       | MULT |4b1011| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|48     |Arithmetic       | DIV  |4b0110| 4b0110| 4b0001  | 4b0001  | 1b0  | Yes   |
|49     |Logical          | NAND |4b1100| 4b0011| 4b1111  | 4b1111  | 1b0  | Yes   |
|50     |Arithmetic       | MULT |4b0001| 4b0111| 4b0111  | 4b0111  | 1b0  | Yes   |
